RecordID,Timestamp,Message
REC-000031,2025-09-02 17:12:47,I'm having trouble with can't log in to sharepoint causing delays in project work.
REC-000032,2025-08-12 17:46:47,Need urgent help with my phone at lab room showing access denied need this fixed ASAP. Contact: paul.r
REC-000033,2025-07-13 00:39:47,I'm having trouble with the workstation keeps restarting randomly colleagues on floor 2 also affected.
REC-000034,2025-07-06 12:31:47,fatima.z submitted a ticket: my phone at branch office showing network timeout colleagues on branch office also affected.
REC-000035,2025-09-07 10:56:47,User emma.w reported: the printer at training hall is not working again this is blocking me from completing my tasks.
REC-000036,2025-07-07 22:38:47,fatima.z submitted a ticket: performance on Teams is extremely slow this is blocking me from completing my tasks.
REC-000037,2025-09-21 15:11:47,"alex.b submitted a ticket: unable to access PowerPoint, request ID #TKT-66640 need this fixed ASAP."
REC-000038,2025-08-11 11:14:47,I'm having trouble with performance on OneDrive is extremely slow need this fixed ASAP. Contact: hannah.j
REC-000039,2025-08-02 15:53:47,Could you please check Excel refuses to start after update this is blocking me from completing my tasks. Contact: mohamed.s
REC-000040,2025-08-05 22:17:47,"I'm having trouble with unable to access OneDrive, request ID #TKT-67497 please upgrade RAM."
REC-000041,2025-09-07 04:57:47,"I'm having trouble with unable to access Jira, request ID #TKT-74604 causing delays in project work. Contact: maria.l"
REC-000042,2025-08-19 00:20:47,Could you please check OneDrive refuses to start after update need this fixed ASAP. Contact: nina.b
REC-000043,2025-08-11 04:02:47,"Need urgent help with the printer at lab room is not working again already tried restarting, no success."
REC-000044,2025-08-30 09:52:47,"I'm having trouble with performance on Jira is extremely slow already tried restarting, no success."
REC-000045,2025-07-26 17:30:47,"Problem encountered: SharePoint refuses to start after update already tried restarting, no success."
REC-000046,2025-09-05 15:30:47,"User emma.w reported: unable to access Teams, request ID #TKT-11760 this is blocking me from completing my tasks."
REC-000047,2025-07-18 17:49:47,Request for support regarding the printer at floor 1 is not working again colleagues on floor 1 also affected. Contact: sofia.g
REC-000048,2025-07-12 12:26:47,Need urgent help with my server at floor 1 showing network timeout this is blocking me from completing my tasks.
REC-000049,2025-08-04 16:57:47,Facing an issue where VPN connection drops every few minutes please install VPN client.
REC-000050,2025-09-13 05:42:47,Facing an issue where performance on Word is extremely slow causing delays in project work. Contact: hannah.j
REC-000051,2025-07-31 09:06:47,Could you please check performance on OneDrive is extremely slow this is blocking me from completing my tasks.
REC-000052,2025-09-06 10:31:47,"User youssef.t reported: the workstation keeps restarting randomly already tried restarting, no success."
REC-000053,2025-08-12 04:00:47,"maria.l submitted a ticket: Slack refuses to start after update already tried restarting, no success. Contact: david.p"
REC-000054,2025-08-09 09:07:47,I'm having trouble with the printer at floor 3 is not working again please fix wifi.
REC-000055,2025-08-24 18:04:47,I'm having trouble with can't log in to teams this has been happening since yesterday.
REC-000056,2025-07-15 09:13:47,Problem encountered: the server keeps restarting randomly causing delays in project work.
REC-000057,2025-09-04 01:24:47,User paul.r reported: the tablet keeps restarting randomly causing delays in project work.
REC-000058,2025-08-30 16:28:47,User fatima.z reported: VPN connection drops every few minutes this is blocking me from completing my tasks. Contact: sarah.k
REC-000059,2025-09-17 05:05:47,Request for support regarding the printer at training hall is not working again colleagues on training hall also affected.
REC-000060,2025-07-27 05:49:47,olivia.m submitted a ticket: the printer at floor 1 is not working again please upgrade RAM.
REC-000061,2025-09-08 01:35:47,Need urgent help with the printer at datacenter is not working again need this fixed asap.
REC-000062,2025-08-13 02:19:47,Facing an issue where the tablet keeps restarting randomly causing delays in project work.
REC-000063,2025-08-24 05:06:47,User hannah.j reported: the tablet keeps restarting randomly this is blocking me from completing my tasks.
REC-000064,2025-08-26 13:06:47,Could you please check the printer at floor 3 is not working again this is blocking me from completing my tasks.
REC-000065,2025-09-07 02:54:47,"Request for support regarding unable to access SharePoint, request ID #TKT-28264 this is blocking me from completing my tasks."
REC-000066,2025-08-29 18:16:47,"Need urgent help with unable to access Slack, request ID #TKT-90212 need this fixed ASAP."
REC-000067,2025-09-19 23:04:47,I'm having trouble with VPN connection drops every few minutes please grant access to shared drive. Contact: ahmed.h
REC-000068,2025-08-26 22:41:47,Request for support regarding can't log in to SharePoint this has been happening since yesterday. Contact: maria.l
REC-000069,2025-08-08 17:39:47,User li.chen reported: can't log in to OneDrive need this fixed ASAP. Contact: mohamed.s
REC-000070,2025-07-11 00:29:47,Request for support regarding the printer at floor 2 is not working again please replace keyboard.
REC-000071,2025-07-16 08:02:47,Facing an issue where Outlook refuses to start after update this is blocking me from completing my tasks. Contact: olivia.m
REC-000072,2025-08-26 18:51:47,Problem encountered: the laptop keeps restarting randomly need this fixed ASAP. Contact: ahmed.h
REC-000073,2025-09-11 03:01:47,"User george.t reported: unable to access OneDrive, request ID #TKT-12036 this has been happening since yesterday. Contact: emma.w"
REC-000074,2025-08-18 02:32:47,nina.b submitted a ticket: VPN connection drops every few minutes causing delays in project work.
REC-000075,2025-09-20 09:17:47,"User paul.r reported: unable to access sharepoint, request id #tkt-38014 already tried restarting, no success."
REC-000076,2025-08-15 13:23:47,"Could you pls check the printer at remote is not working again already tried restarting, no success."
REC-000077,2025-08-07 00:45:47,I'm having trouble with my phone at datacenter showing access denied please install VPN client.
REC-000078,2025-09-12 02:04:47,I'm having trouble with performance on OneDrive is extremely slow colleagues on datacenter also affected.
REC-000079,2025-07-31 07:24:47,"Mohamed.s submitted a ticket: the laptop keeps restarting randomly already tried restarting, no success."
REC-000080,2025-07-17 06:57:47,Could you please check performance on PowerPoint is extremely slow this is blocking me from completing my tasks.
REC-000081,2025-07-20 01:48:47,Need urgent help with the server keeps restarting randomly this has been happening since yesterday.
REC-000082,2025-09-12 07:52:47,"I'm having trouble with unable to access Outlook, request ID #TKT-14471 causing delays in project work. Contact: emma.w"
REC-000083,2025-09-09 12:53:47,I'm having trouble with can't log in to Excel causing delays in project work. Contact: hannah.j
REC-000084,2025-08-01 07:18:47,"Problem encountered: can't log in to SharePoint already tried restarting, no success."
REC-000085,2025-07-31 01:19:47,Problem encountered: can't log in to excel need this fixed asap.
REC-000086,2025-08-01 11:39:47,Problem encountered: the workstation keeps restarting randomly causing delays in project work. Contact: fatima.z
REC-000087,2025-08-21 10:43:47,I'm having trouble with can't log in to SAP this has been happening since yesterday.
REC-000088,2025-08-30 08:00:47,Problem encountered: can't log in to PowerPoint this is blocking me from completing my tasks.
REC-000089,2025-07-30 18:22:47,"User sarah.k reported: can't log in to Chrome already tried restarting, no success."
REC-000090,2025-08-12 12:16:47,Facing an issue where can't log in to Outlook this is blocking me from completing my tasks.
REC-000091,2025-08-21 23:34:47,"User nina.b reported: performance on SharePoint is extremely slow already tried restarting, no success. Contact: david.p"
REC-000092,2025-09-16 01:10:47,Need urgent help with VPN connection drops every few minutes please install VPN client.
REC-000093,2025-08-10 13:40:47,"User fatima.z reported: unable to access onedrive, request id #tkt-46294 already tried restarting, no success. contact: ahmed.h"
REC-000094,2025-07-26 22:41:47,"I'm having trouble with unable to access Word, request ID #TKT-55458 this is blocking me from completing my tasks."
REC-000095,2025-09-04 06:03:47,Problem encountered: my server at floor 3 showing not responding please reset password.
REC-000096,2025-08-07 13:41:47,"Request for support regarding VPN connection drops every few minutes already tried restarting, no success."
REC-000097,2025-08-05 06:06:47,"emma.w submitted a ticket: Slack refuses to start after update already tried restarting, no success."
REC-000098,2025-07-28 21:56:47,Problem encountered: my server at lab room showing network timeout causing delays in project work.
REC-000099,2025-08-29 18:57:47,"User maria.l reported: the phone keeps restarting randomly already tried restarting, no success."
REC-000100,2025-08-05 01:49:47,hannah.j submitted a ticket: my desktop at HQ showing error code 720 need this fixed ASAP.
REC-000101,2025-08-21 23:50:47,"Need urgent help with unable to access SAP, request ID #TKT-28734 causing delays in project work."
REC-000102,2025-08-25 13:42:47,User ahmed.h reported: can't log in to PowerPoint this has been happening since yesterday.
REC-000103,2025-06-25 06:54:47,I'm having trouble with the printer at branch office is not working again need this fixed ASAP. Contact: fatima.z
REC-000104,2025-07-05 10:44:47,"Need urgent help with unable to access Chrome, request ID #TKT-13963 colleagues on branch office also affected."
REC-000105,2025-07-15 18:54:47,I'm having trouble with VPN connection drops every few minutes causing delays in project work.
REC-000106,2025-08-21 08:12:47,alex.b submitted a ticket: performance on Jira is extremely slow this is blocking me from completing my tasks.
REC-000107,2025-09-12 08:14:47,Facing an issue where can't log in to OneDrive causing delays in project work.
REC-000108,2025-08-09 13:07:47,Facing an issue where can't log in to powerpoint this has been happening since yesterday.
REC-000109,2025-09-04 19:56:47,I'm having trouble with the printer at lab room is not working again colleagues on lab room also affected. Contact: hannah.j
REC-000110,2025-09-02 23:08:47,Request for support regarding the printer at training hall is not working again please grant access to shared drive.
REC-000111,2025-07-19 09:52:47,"Problem encountered: unable to access SAP, request ID #TKT-71369 this is blocking me from completing my tasks."
REC-000112,2025-09-14 21:21:47,"I'm having trouble with my phone at floor 3 showing blue screen already tried restarting, no success."
REC-000113,2025-07-31 14:32:47,alex.b submitted a ticket: the laptop keeps restarting randomly this has been happening since yesterday.
REC-000114,2025-07-27 18:24:47,Need urgent help with SAP refuses to start after update this has been happening since yesterday.
REC-000115,2025-07-24 17:56:47,Could you please check the tablet keeps restarting randomly this is blocking me from completing my tasks.
REC-000116,2025-09-14 09:52:47,"Could you please check unable to access OneDrive, request ID #TKT-94347 already tried restarting, no success."
REC-000117,2025-08-22 13:44:47,Facing an issue where Teams refuses to start after update need this fixed ASAP.
REC-000118,2025-07-16 13:21:47,Need urgent help with performance on Outlook is extremely slow this has been happening since yesterday. Contact: ahmed.h
REC-000119,2025-07-26 05:13:47,fatima.z submitted a ticket: my server at HQ showing blue screen this is blocking me from completing my tasks.
REC-000120,2025-07-09 21:36:47,Facing an issue where can't log in to Zoom this is blocking me from completing my tasks. Contact: li.chen
REC-000121,2025-07-27 22:45:47,Problem encountered: the tablet keeps restarting randomly colleagues on training hall also affected.
REC-000122,2025-08-16 04:59:47,Need urgent help with VPN connection drops every few minutes please install Adobe Acrobat. Contact: khaled.a
REC-000123,2025-07-30 20:55:47,"Could you please check unable to access Excel, request ID #TKT-93031 causing delays in project work."
REC-000124,2025-08-05 21:37:47,Problem encountered: the workstation keeps restarting randomly causing delays in project work. Contact: sofia.g
REC-000125,2025-08-27 08:35:47,Could you please check the workstation keeps restarting randomly this is blocking me from completing my tasks. Contact: david.p
REC-000126,2025-09-19 00:50:47,Could you please check VPN connection drops every few minutes please reset password.
REC-000127,2025-08-17 03:58:47,I'm having trouble with performance on Excel is extremely slow need this fixed ASAP.
REC-000128,2025-09-18 13:02:47,"Could you please check unable to access PowerPoint, request ID #TKT-33480 colleagues on branch office also affected."
REC-000129,2025-09-18 22:01:47,john.doe submitted a ticket: Chrome refuses to start after update this has been happening since yesterday.
REC-000130,2025-08-03 14:18:47,User david.p reported: VPN connection drops every few minutes please install Adobe Acrobat. Contact: paul.r
REC-000131,2025-08-10 22:59:47,david.p submitted a ticket: can't log in to SAP need this fixed ASAP.
REC-000132,2025-07-11 03:12:47,Facing an issue where the printer at floor 2 is not working again this is blocking me from completing my tasks. Contact: george.t
REC-000133,2025-09-01 07:18:47,Problem encountered: can't log in to word this has been happening since yesterday.
REC-000134,2025-07-13 12:18:47,"Request for support regarding my desktop at lab room showing printer jam already tried restarting, no success."
REC-000135,2025-07-27 02:08:47,"Could you please check my tablet at lab room showing disk full already tried restarting, no success."
REC-000136,2025-07-31 05:28:47,Facing an issue where can't log in to Teams causing delays in project work. Contact: mohamed.s
REC-000137,2025-08-27 14:59:47,Need urgent help with the tablet keeps restarting randomly this has been happening since yesterday. Contact: li.chen
REC-000138,2025-09-20 23:41:47,Could you please check my workstation at datacenter showing access denied need this fixed ASAP.
REC-000139,2025-08-16 06:02:47,Could you pls check can't log in to Zoom colleagues on floor 3 also affected.
REC-000140,2025-09-07 09:31:47,Need urgent help with Excel refuses to start after update this is blocking me from completing my tasks.
REC-000141,2025-07-20 05:35:47,Problem encountered: performance on PowerPoint is extremely slow this is blocking me from completing my tasks.
REC-000142,2025-08-02 19:43:47,User alex.b reported: the printer at lab room is not working again need this fixed ASAP. Contact: nina.b
REC-000143,2025-08-03 13:34:47,User nina.b reported: performance on Teams is extremely slow this has been happening since yesterday.
REC-000144,2025-07-14 09:51:47,"I'm having trouble with can't log in to Zoom already tried restarting, no success."
REC-000145,2025-07-10 02:42:47,"Problem encountered: SAP refuses to start after update already tried restarting, no success. Contact: khaled.a"
REC-000146,2025-07-29 17:43:47,Facing an issue where Outlook refuses to start after update need this fixed ASAP. Contact: youssef.t
REC-000147,2025-08-31 02:37:47,"Could you please check the printer at lab room is not working again already tried restarting, no success."
REC-000148,2025-09-15 02:35:47,hannah.j submitted a ticket: VPN connection drops every few minutes this has been happening since yesterday.
REC-000149,2025-08-28 21:00:47,"Need urgent help with VPN connection drops every few minutes already tried restarting, no success."
REC-000150,2025-09-02 09:02:47,hannah.j submitted a ticket: OneDrive refuses to start after update causing delays in project work. Contact: paul.r
REC-000151,2025-08-01 22:25:47,"I'm having trouble with unable to access Word, request ID #TKT-81934 causing delays in project work."
REC-000152,2025-07-23 06:35:47,User david.p reported: the printer at floor 3 is not working again please upgrade RAM.
REC-000153,2025-06-28 02:54:47,Problem encountered: can't log in to Excel this has been happening since yesterday.
REC-000154,2025-08-11 02:15:47,Need urgent help with VPN connection drops every few minutes need this fixed ASAP.
REC-000155,2025-07-15 18:13:47,Problem encountered: the printer at floor 2 is not working again please replace keyboard.
REC-000156,2025-08-31 04:27:47,Facing an issue where the phone keeps restarting randomly please setup new email account.
REC-000157,2025-07-31 04:17:47,Could you please check VPN connection drops every few minutes this is blocking me from completing my tasks. Contact: george.t
REC-000158,2025-06-29 18:16:47,Need urgent help with my tablet at training hall showing not responding this has been happening since yesterday. Contact: john.doe
REC-000159,2025-09-08 16:03:47,"I'm having trouble with my laptop at floor 3 showing disk full already tried restarting, no success."
REC-000160,2025-07-30 21:34:47,"Problem encountered: word refuses to start after update already tried restarting, no success. contact: nina.b"
REC-000161,2025-08-24 07:56:47,Problem encountered: the printer at remote is not working again causing delays in project work.
REC-000162,2025-07-26 04:20:47,Problem encountered: the printer at floor 1 is not working again need this fixed ASAP.
REC-000163,2025-08-10 10:11:47,I'm having trouble with the laptop keeps restarting randomly need this fixed ASAP.
REC-000164,2025-09-08 16:02:47,User george.t reported: my laptop at lab room showing access denied this is blocking me from completing my tasks.
REC-000165,2025-09-03 21:44:47,Request for support regarding the phone keeps restarting randomly need this fixed asap.
REC-000166,2025-09-23 18:02:47,"Could you please check the phone keeps restarting randomly already tried restarting, no success."
REC-000167,2025-08-27 22:04:47,"Need urgent help with unable to access PowerPoint, request ID #TKT-27431 please install VPN client."
REC-000168,2025-09-13 02:31:47,Facing an issue where can't log in to Word this is blocking me from completing my tasks.
REC-000169,2025-09-17 06:41:47,I'm having trouble with my laptop at floor 1 showing unknown host please fix wifi.
REC-000170,2025-09-15 21:09:47,Facing an issue where VPN connection drops every few minutes colleagues on floor 1 also affected.
REC-000171,2025-07-23 18:37:47,Problem encountered: PowerPoint refuses to start after update causing delays in project work. Contact: john.doe
REC-000172,2025-08-15 05:33:47,Need urgent help with my server at datacenter showing access denied causing delays in project work.
REC-000173,2025-07-11 12:57:47,Could you please check can't log in to Excel this is blocking me from completing my tasks.
REC-000174,2025-07-28 16:11:47,"Could you please check VPN connection drops every few minutes already tried restarting, no success."
REC-000175,2025-08-16 23:52:47,maria.l submitted a ticket: VPN connection drops every few minutes this has been happening since yesterday.
REC-000176,2025-09-17 11:07:47,"I'm having trouble with can't log in to PowerPoint already tried restarting, no success. Contact: john.doe"
REC-000177,2025-09-03 22:28:47,User fatima.z reported: the printer at training hall is not working again please fix wifi.
REC-000178,2025-07-27 18:44:47,fatima.z submitted a ticket: Zoom refuses to start after update this has been happening since yesterday. Contact: olivia.m
REC-000179,2025-07-15 00:18:47,User nina.b reported: SharePoint refuses to start after update causing delays in project work. Contact: sofia.g
REC-000180,2025-09-12 22:56:47,Problem encountered: the printer at floor 3 is not working again this is blocking me from completing my tasks.
REC-000181,2025-09-02 06:52:47,Need urgent help with the phone keeps restarting randomly please replace keyboard.
REC-000182,2025-09-15 04:51:47,Could you please check the printer at datacenter is not working again please setup new email account.
REC-000183,2025-07-08 15:59:47,Could you please check the printer at HQ is not working again need this fixed ASAP.
REC-000184,2025-08-17 15:12:47,Could you pls check can't log in to outlook causing delays in project work.
REC-000185,2025-07-07 06:05:47,Nina.b submitted a ticket: the printer at remote is not working again this has been happening since yesterday.
REC-000186,2025-08-26 17:48:47,Could you pls check my phone at branch office showing network timeout need this fixed ASAP.
REC-000187,2025-07-08 07:30:47,Need urgent help with my server at floor 1 showing access denied colleagues on floor 1 also affected. Contact: george.t
REC-000188,2025-07-11 08:24:47,"User david.p reported: unable to access Word, request ID #TKT-57418 need this fixed ASAP."
REC-000189,2025-08-13 06:49:47,User sofia.g reported: the workstation keeps restarting randomly this has been happening since yesterday.
REC-000190,2025-08-13 08:13:47,"I'm having trouble with Zoom refuses to start after update already tried restarting, no success."
REC-000191,2025-09-09 23:57:47,Facing an issue where VPN connection drops every few minutes colleagues on datacenter also affected.
REC-000192,2025-07-27 22:01:47,Request for support regarding VPN connection drops every few minutes causing delays in project work. Contact: sarah.k
REC-000193,2025-08-27 12:25:47,Could you please check my laptop at datacenter showing access denied need this fixed ASAP.
REC-000194,2025-08-01 16:41:47,olivia.m submitted a ticket: the tablet keeps restarting randomly causing delays in project work. Contact: george.t
REC-000195,2025-07-05 13:51:47,Request for support regarding the laptop keeps restarting randomly this has been happening since yesterday.
REC-000196,2025-07-16 14:07:47,"I'm having trouble with unable to access SAP, request ID #TKT-38800 already tried restarting, no success."
REC-000197,2025-07-16 22:39:47,"Facing an issue where unable to access Chrome, request ID #TKT-27776 this has been happening since yesterday. Contact: hannah.j"
REC-000198,2025-09-08 18:52:47,"Request for support regarding unable to access sap, request id #tkt-49296 please unlock account."
REC-000199,2025-08-14 10:02:47,Need urgent help with VPN connection drops every few minutes this is blocking me from completing my tasks.
REC-000200,2025-08-28 06:33:47,Facing an issue where the printer at remote is not working again need this fixed ASAP.
REC-000201,2025-08-30 16:03:47,User khaled.a reported: the printer at remote is not working again this has been happening since yesterday. Contact: hannah.j
REC-000202,2025-07-15 08:09:47,"User sarah.k reported: my laptop at lab room showing error code 720 already tried restarting, no success."
REC-000203,2025-08-22 03:08:47,User sarah.k reported: performance on slack is extremely slow need this fixed asap.
REC-000204,2025-08-20 17:44:47,Facing an issue where the printer at training hall is not working again please replace keyboard.
REC-000205,2025-07-27 15:58:47,nina.b submitted a ticket: my tablet at datacenter showing not responding please fix wifi. Contact: youssef.t
REC-000206,2025-09-10 02:20:47,I'm having trouble with performance on Zoom is extremely slow colleagues on training hall also affected. Contact: sofia.g
REC-000207,2025-07-26 13:50:47,Facing an issue where the printer at datacenter is not working again this is blocking me from completing my tasks. Contact: sofia.g
REC-000208,2025-07-10 19:06:47,"User olivia.m reported: unable to access sap, request id #tkt-81074 already tried restarting, no success."
REC-000209,2025-08-23 21:11:47,Need urgent help with my server at floor 1 showing network timeout this has been happening since yesterday. Contact: mohamed.s
REC-000210,2025-08-27 02:10:47,"I'm having trouble with my workstation at floor 1 showing network timeout already tried restarting, no success. Contact: fatima.z"
REC-000211,2025-07-05 08:52:47,Problem encountered: performance on Teams is extremely slow colleagues on remote also affected. Contact: paul.r
REC-000212,2025-08-28 19:27:47,Need urgent help with Zoom refuses to start after update this is blocking me from completing my tasks.
REC-000213,2025-07-18 07:10:47,"I'm having trouble with unable to access Excel, request ID #TKT-33289 this is blocking me from completing my tasks."
REC-000214,2025-07-10 23:18:47,Could you pls check Excel refuses to start after update colleagues on branch office also affected.
REC-000215,2025-08-16 06:24:47,"Need urgent help with unable to access Teams, request ID #TKT-15659 colleagues on branch office also affected."
REC-000216,2025-06-28 08:24:47,"Facing an issue where unable to access chrome, request id #tkt-81081 pls install adobe acrobat."
REC-000217,2025-09-20 10:50:47,Need urgent help with the phone keeps restarting randomly need this fixed ASAP.
REC-000218,2025-08-05 14:11:47,Facing an issue where my workstation at remote showing blue screen need this fixed ASAP.
REC-000219,2025-07-17 09:08:47,emma.w submitted a ticket: Teams refuses to start after update this is blocking me from completing my tasks.
REC-000220,2025-08-11 08:07:47,Could you pls check VPN connection drops every few minutes colleagues on branch office also affected. Contact: emma.w
REC-000221,2025-07-19 05:21:47,alex.b submitted a ticket: can't log in to Outlook this is blocking me from completing my tasks.
REC-000222,2025-07-25 16:18:47,Could you please check the printer at floor 2 is not working again causing delays in project work.
REC-000223,2025-09-14 02:23:47,Could you please check can't log in to Outlook causing delays in project work.
REC-000224,2025-07-20 16:45:47,"fatima.z submitted a ticket: unable to access OneDrive, request ID #TKT-76517 this is blocking me from completing my tasks."
REC-000225,2025-09-04 10:47:47,Request for support regarding can't log in to SharePoint causing delays in project work.
REC-000226,2025-07-05 01:57:47,Could you please check Excel refuses to start after update need this fixed ASAP.
REC-000227,2025-07-05 15:38:47,Problem encountered: can't log in to Teams please replace keyboard.
REC-000228,2025-08-12 12:05:47,Could you please check the printer at floor 1 is not working again causing delays in project work. contact: khaled.a
REC-000229,2025-08-26 15:59:47,"Need urgent help with unable to access OneDrive, request ID #TKT-94187 pls install VPN client."
REC-000230,2025-08-23 15:40:47,User mohamed.s reported: performance on Outlook is extremely slow causing delays in project work.
REC-000231,2025-07-03 13:59:47,I'm having trouble with can't log in to Outlook this has been happening since yesterday. Contact: hannah.j
REC-000232,2025-08-30 14:35:47,User sarah.k reported: vpn connection drops every few minutes this has been happening since yesterday.
REC-000233,2025-07-04 03:16:47,Problem encountered: the workstation keeps restarting randomly colleagues on datacenter also affected.
REC-000234,2025-07-02 22:42:47,Problem encountered: the printer at training hall is not working again this is blocking me from completing my tasks. Contact: john.doe
REC-000235,2025-07-06 19:00:47,I'm having trouble with can't log in to excel this has been happening since yesterday. contact: ahmed.h
REC-000236,2025-08-08 09:36:47,john.doe submitted a ticket: can't log in to Slack this is blocking me from completing my tasks.
REC-000237,2025-07-20 06:40:47,I'm having trouble with VPN connection drops every few minutes please install VPN client.
REC-000238,2025-06-28 23:59:47,Request for support regarding Zoom refuses to start after update colleagues on remote also affected.
REC-000239,2025-07-05 18:23:47,"Facing an issue where unable to access PowerPoint, request ID #TKT-98821 please unlock account."
REC-000240,2025-06-27 21:11:47,"Need urgent help with unable to access Jira, request ID #TKT-73182 already tried restarting, no success."
REC-000241,2025-07-05 18:17:47,Alex.b submitted a ticket: performance on zoom is extremely slow need this fixed asap.
REC-000242,2025-06-30 07:36:47,Need urgent help with Jira refuses to start after update this has been happening since yesterday.
REC-000243,2025-07-05 07:42:47,Need urgent help with the phone keeps restarting randomly this is blocking me from completing my tasks.
REC-000244,2025-07-24 15:13:47,nina.b submitted a ticket: the printer at floor 1 is not working again causing delays in project work. Contact: george.t
REC-000245,2025-08-23 15:06:47,"Facing an issue where unable to access chrome, request id #tkt-88110 causing delays in project work. contact: alex.b"
REC-000246,2025-07-24 09:45:47,"Request for support regarding the printer at floor 3 is not working again already tried restarting, no success."
REC-000247,2025-08-06 10:40:47,Request for support regarding Teams refuses to start after update colleagues on HQ also affected. Contact: emma.w
REC-000248,2025-06-26 21:50:47,Facing an issue where SAP refuses to start after update this has been happening since yesterday.
REC-000249,2025-07-16 04:48:47,I'm having trouble with the printer at floor 3 is not working again pls install Adobe Acrobat.
REC-000250,2025-07-20 01:56:47,Problem encountered: can't log in to Outlook please replace keyboard.
REC-000251,2025-07-19 19:10:47,Request for support regarding performance on Jira is extremely slow this has been happening since yesterday.
REC-000252,2025-09-20 03:57:47,"Could you please check the printer at HQ is not working again already tried restarting, no success."
REC-000253,2025-09-05 16:55:47,User paul.r reported: performance on Teams is extremely slow causing delays in project work.
REC-000254,2025-08-24 21:44:47,Need urgent help with my desktop at lab room showing error code 720 need this fixed ASAP.
REC-000255,2025-07-23 07:22:47,User sarah.k reported: the printer at datacenter is not working again this is blocking me from completing my tasks.
REC-000256,2025-09-09 05:52:47,I'm having trouble with can't log in to Slack colleagues on training hall also affected. Contact: maria.l
REC-000257,2025-09-22 23:11:47,"I'm having trouble with my server at lab room showing network timeout already tried restarting, no success."
REC-000258,2025-07-08 00:16:47,"Facing an issue where unable to access Outlook, request ID #TKT-62738 please grant access to shared drive."
REC-000259,2025-07-15 08:36:47,Need urgent help with performance on OneDrive is extremely slow this is blocking me from completing my tasks.
REC-000260,2025-09-05 05:53:47,I'm having trouble with Excel refuses to start after update this has been happening since yesterday.
